2024-10-02 16:17:35,047 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-02 16:17:35,048 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-02 16:17:35,049 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-02 16:17:35,050 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace2024\proyectomavenGitSemana4\ProyectoJPAMavenMiercolesTarde\src\test\resources
2024-10-02 16:17:35,050 [Worker-71] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoJPAMavenMiercolesTarde
2024-10-02 16:17:35,050 [Worker-71] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoJPAMavenMiercolesTarde
2024-10-02 16:17:35,052 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-02 16:18:22,921 [Worker-72] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.farmacia:ProyectoJPAMavenMiercolesTarde:0.0.1-SNAPSHOT @ D:\workspace2024\proyectomavenGitSemana4\ProyectoJPAMavenMiercolesTarde\pom.xml.
2024-10-02 16:18:23,473 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-02 16:18:23,474 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-02 16:18:23,475 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-02 16:18:23,475 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace2024\proyectomavenGitSemana4\ProyectoJPAMavenMiercolesTarde\src\test\resources
2024-10-02 16:18:23,475 [Worker-72] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoJPAMavenMiercolesTarde
2024-10-02 16:18:23,475 [Worker-72] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoJPAMavenMiercolesTarde
2024-10-02 16:18:23,478 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
